assumption_id,category,description,bear,base,bull,unit,source_ids,rationale,confidence,trigger
A001,scenario,"Model probability",0.30,0.50,0.20,"decimal","S024;S026;S028;S029;S031","Judgmental probability weights; they are not frequencies or company guidance",Medium,"Reweight after each quarterly result or a material NAND supply-demand revision"
A002,fy26e,"FY2026E revenue from nine-month actual plus Q4 guidance midpoint",19283,19283,19283,"USD mm","S014;S020","Common starting point isolates the forward scenario differences",High,"Replace with reported FY2026 actual after 2026-08-05"
A003,index,"FY2026 annual-average ASP index; Q3 FY2026 equals 100",75,75,75,"index","S013;S020","Normalized model anchor inferred from the intra-year price ramp; not a reported company index",Medium,"Rebase when FY2026 full-year volume and pricing disclosures become available"
A004,index,"FY2026 annual-average cost index",100,100,100,"index","S014;S017;S025","Pure normalization baseline; does not claim a reported absolute cost per bit",High,"Rebase only if model convention changes"
A005,fy26e,"FY2026E diluted shares",156,156,156,"mm shares","S014;S020","Between nine-month actual 154 and Q4 guided approximately 158",Medium,"Replace with reported FY2026 weighted-average diluted shares"
A006,fy26e,"FY2026E effective GAAP tax rate",0.143,0.143,0.143,"decimal","S014;S020","Model bridge chosen for full-year GAAP forecast; company Q4 tax guidance is non-GAAP",Low,"Replace with reported GAAP tax and update for discrete tax items"
A007,fy26e,"FY2026 Q4 revenue midpoint",8000,8000,8000,"USD mm","S020","Midpoint of company range 7750 to 8250",High,"Replace when Q4 actual is reported or guidance is revised"
A008,fy26e,"FY2026 Q4 GAAP gross margin midpoint",0.799,0.799,0.799,"decimal","S020","Midpoint of company range 78.9% to 80.9%",High,"Replace when Q4 actual is reported or guidance is revised"
A009,fy26e,"FY2026 Q4 GAAP operating-expense midpoint",540.5,540.5,540.5,"USD mm","S020","Midpoint of company range 523 to 558",High,"Replace when Q4 actual is reported or guidance is revised"
A010,fy26e,"FY2026 Q4 GAAP other-income midpoint",22,22,22,"USD mm","S020","Midpoint of company range 12 to 32",High,"Replace when Q4 actual is reported or guidance is revised"
A011,bit_growth,"FY2027 bit-shipment growth",0.12,0.23,0.33,"decimal","S013;S024","Model assumption framed by SanDisk shipment disclosures and industry bit-demand outlook",Medium,"Datacenter exabyte growth or total exabyte growth differs by more than 10 percentage points"
A012,bit_growth,"FY2028 bit-shipment growth",0.16,0.23,0.30,"decimal","S024;S029;S031","Model assumption; captures demand growth and possible supply response",Low,"Meaningful industry capacity expansion arrives earlier or later than late 2027"
A013,bit_growth,"FY2029 bit-shipment growth",0.15,0.20,0.26,"decimal","S024;S025;S029","Model assumption; converges toward long-run NAND bit growth",Low,"Supplier capital plans or technology transitions change industry bit supply materially"
A014,bit_growth,"FY2030 bit-shipment growth",0.14,0.18,0.23,"decimal","S024;S025","Model assumption beyond available company guidance",Low,"Long-term data-center bit-demand growth is revised materially"
A015,asp_index,"FY2027 ASP index",75,105,125,"index","S013;S020;S028;S029","Model assumption; separates price and mix from bit shipments",Low,"Quarterly realized ASP or contract-price direction breaks the assumed path"
A016,asp_index,"FY2028 ASP index",45,80,118,"index","S024;S025;S029;S031","Model assumption; Bear/Base normalize after peak while Bull sustains tight supply and enterprise mix",Low,"Industry supply growth and enterprise SSD pricing show a different cycle turn"
A017,asp_index,"FY2029 ASP index",35,60,105,"index","S024;S025;S029","Model assumption; explicitly avoids extrapolating FY2026 pricing indefinitely",Low,"Contract prices or product mix differ by more than 15% from the assumed index"
A018,asp_index,"FY2030 ASP index",32,50,90,"index","S024;S025","Model assumption for a more normalized cycle",Low,"New supply discipline or structural enterprise demand invalidates normalization"
A019,cost_index,"FY2027 cost-per-bit index",98,90,86,"index","S023;S025","Model assumption; Base/Bull reflect technology and scale improvement while Bear includes underutilization",Low,"Reported gross margin and manufacturing cost commentary imply a different cost curve"
A020,cost_index,"FY2028 cost-per-bit index",89,79,73,"index","S023;S025","Model assumption informed by Kioxia cost-reduction target but not mapped one-for-one",Low,"BiCS10 ramp timing or joint-venture utilization changes materially"
A021,cost_index,"FY2029 cost-per-bit index",82,70,64,"index","S023;S025","Model assumption; cumulative technology-node and yield improvement",Low,"Cost reductions consistently miss or exceed the assumed annual path"
A022,cost_index,"FY2030 cost-per-bit index",76,62,55,"index","S023;S025","Model assumption beyond direct company guidance",Low,"Technology transition or capital intensity changes long-run cost economics"
A023,gross_margin,"FY2027 GAAP gross margin",0.55,0.74,0.80,"decimal","S011;S020;S026;S029","Model assumption spanning early normalization to sustained peak-cycle conditions",Low,"Two consecutive quarters annualize outside the scenario band"
A024,gross_margin,"FY2028 GAAP gross margin",0.30,0.58,0.76,"decimal","S024;S025;S026;S029","Model assumption; price and utilization dominate cost reductions in Bear/Base",Low,"NAND price cycle or enterprise mix turns earlier or later"
A025,gross_margin,"FY2029 GAAP gross margin",0.20,0.46,0.68,"decimal","S024;S025","Model assumption; explicitly embeds cycle normalization",Low,"Long-term contracts sustain or compress margin differently than assumed"
A026,gross_margin,"FY2030 GAAP gross margin",0.28,0.42,0.60,"decimal","S024;S025","Model assumption for normalized economics; Bear includes recovery from trough",Low,"Normalized industry margins settle outside the scenario range"
A027,opex,"FY2027 operating expenses",2300,2450,2600,"USD mm","S014;S020","Model assumption; higher cases fund greater enterprise scale and variable compensation",Medium,"Annualized reported opex differs by more than 10%"
A028,opex,"FY2028 operating expenses",2200,2650,3000,"USD mm","S014;S020","Model assumption balancing cost control and growth investment",Low,"Management issues a materially different investment plan"
A029,opex,"FY2029 operating expenses",2100,2850,3400,"USD mm","S014;S020","Model assumption; not company guidance",Low,"R&D and SG&A trajectory changes materially"
A030,opex,"FY2030 operating expenses",2200,3050,3800,"USD mm","S014;S020","Model assumption; Bear includes trough cost cuts followed by modest reinvestment",Low,"Standalone cost base or strategic investments differ materially"
A031,other_income,"FY2027 other income",100,200,200,"USD mm","S014;S015","Model assumption reflecting a debt-free balance sheet and cash yield",Low,"Cash balance or interest rates differ materially"
A032,other_income,"FY2028 other income",100,300,350,"USD mm","S015;S019","Model assumption; varies with retained cash and capital return",Low,"Buyback execution or additional strategic investments change cash materially"
A033,other_income,"FY2029 other income",100,400,500,"USD mm","S015;S019","Model assumption; not operating profit",Low,"Net cash or interest rates diverge from the scenario"
A034,other_income,"FY2030 other income",100,500,700,"USD mm","S015;S019","Model assumption; Bull retains the largest income-producing cash balance",Low,"Capital allocation meaningfully changes excess cash"
A035,tax_rate,"FY2027 effective tax rate",0.15,0.15,0.15,"decimal","S014","Model assumption normalized above FY2026E bridge",Low,"Company provides a long-term tax-rate range or material discrete items emerge"
A036,tax_rate,"FY2028 effective tax rate",0.15,0.16,0.16,"decimal","S014","Model assumption; modest normalization in profitable cases",Low,"Jurisdictional mix or tax law changes"
A037,tax_rate,"FY2029 effective tax rate",0.15,0.17,0.17,"decimal","S014","Model assumption; not company guidance",Low,"Cash taxes or effective tax rate differ by more than 3 percentage points"
A038,tax_rate,"FY2030 effective tax rate",0.16,0.18,0.18,"decimal","S014","Model assumption for normalized profitability",Low,"Jurisdictional mix or tax law changes"
A039,shares,"FY2027 diluted shares",158,154,153,"mm shares","S014;S019;S020","Model assumption; Bear has dilution while Base/Bull assume limited buyback execution",Low,"Reported buybacks and stock compensation imply a different share path"
A040,shares,"FY2028 diluted shares",158,152,148,"mm shares","S019","Model assumption; authorization alone is not treated as execution",Low,"Company discloses actual repurchase amount and average price"
A041,shares,"FY2029 diluted shares",157,151,144,"mm shares","S019","Model assumption reflecting scenario-dependent capital return",Low,"Repurchases or equity issuance differ materially"
