case_id,split,evaluation_contract,company,archetype,cutoff,target,horizon,metric,profit_metric,unit,actual,v62,v63,confidence,human_required,source_ids,point_in_time_note,v62_point_error,v62_margin_error_pp,v62_direction_correct,v62_sign_correct,v62_low,v62_high,v62_hit,v62_interval_score,v63_point_error,v63_margin_error_pp,v63_direction_correct,v63_sign_correct,v63_low,v63_high,v63_hit,v63_interval_score
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2021,1,revenue,GAAP operating income,USD bn,2.9689,2.85,2.9,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.04004850281248948,,True,,2.4225,3.2775,True,0.2879854491562531,0.023207248475866544,,True,,2.4,3.5,True,0.3705075954057058
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2021,1,profit,GAAP operating income,USD bn,-0.258389,-0.15,-0.2,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,3.4400318388345132,,True,-0.43500000000000005,0.13500000000000004,True,0.19199029943750212,,1.8066380094334242,,True,-0.6,0.15,True,0.25261881504934486
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2022,2,revenue,GAAP operating income,USD bn,4.462383,3.1,3.3,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.3053039149709919,,True,,2.17,4.03,False,2.3547194402631946,0.260484812711056,,True,,2.5,4.8,True,0.515419675989264
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2022,2,profit,GAAP operating income,USD bn,-0.347668,-0.05,-0.2,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,6.178180596447263,,True,-0.608,0.5079999999999999,True,0.25009059061044286,,1.7304777616476537,,True,-1.1,0.2,True,0.29132416468958405
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2023,3,revenue,GAAP operating income,USD bn,5.9196,3.4,3.9,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.42563686735590245,,True,,1.87,4.93,False,3.860395972700859,0.34117170079059395,,True,,2.8,6.5,True,0.6250422325832827
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2023,3,profit,GAAP operating income,USD bn,0.238,0.1,-0.1,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,1.0793654579204472,,True,-0.75,0.95,True,0.2871815663220488,,6.584644492611247,,False,-1.2,0.7,True,0.32096763294817215
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2022,1,revenue,GAAP operating income,USD bn,4.462383,3.65,4.35,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",0.18205138375616797,,True,,3.1025,4.1975,False,0.8389754980690814,0.025184525846392015,,True,,3.9149999999999996,4.785,True,0.19496309483072174
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2022,1,profit,GAAP operating income,USD bn,-0.347668,-0.2,-0.4,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",,2.311631767459194,,True,-0.565,0.16499999999999998,True,0.16358972324876642,,1.4043184765968608,,True,-0.661,-0.13900000000000007,True,0.11697785689843297
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2023,2,revenue,GAAP operating income,USD bn,5.9196,4.2,5.55,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",0.2904926008514088,,True,,2.94,5.460000000000001,False,1.202108250557469,0.06243665112507604,,True,,4.662,6.438,True,0.30002027163997563
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2023,2,profit,GAAP operating income,USD bn,0.238,-0.05,0.15,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",,5.211018118984874,,False,-0.806,0.706,True,0.2554226636934928,,1.31783922580598,,True,-0.3494999999999999,0.6495,True,0.1687614027974863
