case_id,split,evaluation_contract,company,mechanism,cutoff,target,horizon,metric,profit_metric,unit,actual,v71,v72,confidence,point_evaluable,human_required,source_ids,point_in_time_note,v71_point_error,v71_margin_error_pp,v71_direction_correct,v71_sign_correct,v71_low,v71_high,v71_hit,v71_interval_score,v72_point_error,v72_margin_error_pp,v72_direction_correct,v72_sign_correct,v72_low,v72_high,v72_hit,v72_interval_score
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2019,1,revenue,operating income,USD bn,11.716,12.5,11.5,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",0.0669170365312394,,True,,11.25,13.750000000000002,True,0.21338340730624802,0.018436326391259757,,True,,10.58,12.420000000000002,True,0.15705018777739857
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2019,1,profit,operating income,USD bn,3.804,4.2,3.7,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",,1.1315807442813242,,True,3.7,4.7,True,0.08535336292249915,,0.29450621224041407,,True,3.2975000000000003,4.1025,True,0.06870945715261179
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2020,2,revenue,operating income,USD bn,10.918,14.0,10.5,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",0.28228613299139044,,False,,11.48,16.52,False,0.9763692984063026,0.03828540025645716,,True,,9.03,11.97,True,0.26928008792819214
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2020,2,profit,operating income,USD bn,2.846,4.8,2.6,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",,8.21866903933216,,True,3.82,5.78,False,1.0716248397142334,,1.3051404844773629,,True,2.0225,3.1775,True,0.10578860597178974
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2021,3,revenue,operating income,USD bn,16.675,16.0,15.5,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",0.04047976011994007,,True,,12.0,20.0,True,0.47976011994003,0.07046476761619194,,True,,12.4,18.599999999999998,True,0.3718140929535231
NVDA@FY2018,calibration,point-and-interval,NVIDIA,compute-platforms,FY2018,FY2021,3,profit,operating income,USD bn,4.532,5.4,4.2,80%,True,True,NVDA_FY2018_10K / NVDA_FY2019_10K / NVDA_FY2020_10K / NVDA_FY2021_10K,"Gaming sell-in, crypto/channel inventory and data-center platform growth required separate states.",,6.571589205397305,,True,3.8000000000000003,7.0,True,0.19190404797601196,,0.08163660105430792,,True,3.0375000000000005,5.3625,True,0.13943028485757117
NVDA@FY2019,perimeter,distribution-only-perimeter-break,NVIDIA,compute-platforms,FY2019,FY2020,1,revenue,operating income,USD bn,10.918,11.2,10.8,90%,False,True,NVDA_FY2019_10K / MELLANOX_ANNOUNCEMENT / NVDA_FY2020_10K / NVDA_FY2021_10K / NVDA_FY2022_10K,Mellanox was not announced by the FY2019 cutoff. Preserve the organic Base and use an anonymous perimeter-expansion tail; do not backfill the later transaction.,,,,,10.08,12.32,True,0.2051657812786225,,,,,9.3,12.5,True,0.2930939732551749
NVDA@FY2019,perimeter,distribution-only-perimeter-break,NVIDIA,compute-platforms,FY2019,FY2020,1,profit,operating income,USD bn,2.846,3.1,2.8,90%,False,True,NVDA_FY2019_10K / MELLANOX_ANNOUNCEMENT / NVDA_FY2020_10K / NVDA_FY2021_10K / NVDA_FY2022_10K,Mellanox was not announced by the FY2019 cutoff. Preserve the organic Base and use an anonymous perimeter-expansion tail; do not backfill the later transaction.,,,,,2.652,3.548,True,0.08206631251144898,,,,,1.8,3.8,True,0.18318373328448434
NVDA@FY2019,perimeter,distribution-only-perimeter-break,NVIDIA,compute-platforms,FY2019,FY2021,2,revenue,operating income,USD bn,16.675,12.5,12.8,90%,False,True,NVDA_FY2019_10K / MELLANOX_ANNOUNCEMENT / NVDA_FY2020_10K / NVDA_FY2021_10K / NVDA_FY2022_10K,Mellanox was not announced by the FY2019 cutoff. Preserve the organic Base and use an anonymous perimeter-expansion tail; do not backfill the later transaction.,,,,,10.25,14.75,False,2.578710644677662,,,,,10.0,18.5,True,0.5097451274362819
NVDA@FY2019,perimeter,distribution-only-perimeter-break,NVIDIA,compute-platforms,FY2019,FY2021,2,profit,operating income,USD bn,4.532,3.6,3.3,90%,False,True,NVDA_FY2019_10K / MELLANOX_ANNOUNCEMENT / NVDA_FY2020_10K / NVDA_FY2021_10K / NVDA_FY2022_10K,Mellanox was not announced by the FY2019 cutoff. Preserve the organic Base and use an anonymous perimeter-expansion tail; do not backfill the later transaction.,,,,,2.725,4.4750000000000005,False,0.17331334332833526,,,,,1.5,6.5,True,0.29985007496251875
